cheetah, 125,125, 133,133, 138,138, 129,129, 1,1, 6,6, 3,3, 127,127
turismo, 45,75, 47,76, 33,75, 13,76, 54,75, 69,76, 59,75, 87,76
elegy, 1,1
comet, 73,45, 12,12, 2,2, 6,6, 4,4, 46,46, 53,53, 9,9, 13,13, 30,30, 122,122
sandking, 135,135, 3,3, 6,6, 143,143, 140,140, 144,144, 79,79, 1,0
elegant, 37,37, 42,42, 53,53, 62,62, 7,7, 10,10, 11,11, 15,15
manana, 3,3, 118,118, 7,3, 1,3, 1,6, 0,3, 19,3, 46,6, 0,0, 1,1
bloodra, 36,1, 35,1, 17,1, 11,1, 116,1, 113,1, 101,1, 92,1
benson, 74,72, 66,72, 53,56, 37,19, 22,22, 20,20, 9,14, 0,0
clover, 13,118, 24,118, 31,93, 32,92, 45,92, 113,92, 119,113, 122,113
esperant, 45,75, 47,76, 33,75, 13,76, 54,75, 69,76, 59,75, 87,76
zr350, 92,1, 94,1, 101,1, 121,1, 0,1, 22,1, 36,1, 75,1
infernus, 12,1, 64,1, 123,1, 116,1, 112,1, 106,1, 80,1, 75,1
landstal, 4,1, 123,1, 113,1, 101,1, 75,1, 62,1, 40,1, 36,1
bravura, 36,1, 35,1, 17,1, 11,1, 116,1, 113,1, 101,1, 92,1
euros, 36,1, 40,1, 43,1, 53,1, 72,1, 75,1, 95,1, 101,1
alpha, 58,1, 69,1, 75,77, 18,1, 32,1, 45,45, 13,1, 34,1
uranus, 112,1, 116,1, 117,1, 24,1, 30,1, 35,1, 36,1, 40,1
admiral, 37,37, 42,42, 53,53, 62,62, 7,7, 10,10, 11,11, 15,15
sentinel, 1,1, 40,40, 6,6, 3,3, 2,2, 68,68, 28,28, 18,18, 0,0, 12,12, 44,44, 46,46, 43,43, 61,61
flash, 37,37, 42,42, 53,53, 62,62, 7,7, 10,10, 11,11, 15,15
buffalo, 10,10, 13,13, 22,22, 30,30, 39,39, 90,90, 98,98, 110,110
rancher, 13,118, 14,123, 120,123, 112,120, 84,110, 76,102
stallion, 57,8, 8,17, 43,21, 54,38, 67,8, 37,78, 65,79, 25,78
previon, 83,1, 87,1, 92,1, 95,1, 109,1, 119,45, 11,1,
blistac, 74,72, 66,72, 53,56, 37,19, 22,22, 20,20, 9,14, 0,0
blade, 1,1,13,0, 11,25,1,0, 1,0,45,0, 0,0,78,0, 6,25,24,0, 3,0,62,0, 3,3,1,0, 125,125,81,0, 44,25,107,0, 6,6,89,0,
feltzer, 73,1, 74,1, 75,1, 77,1, 79,1, 83,1, 84,1, 91,1
glendale, 67,76, 68,76, 78,76, 2,76, 16,76, 18,76, 25,76, 45,88
